DEPARTAMENTO,PROVINCIA,DISTRITO,DISTANCIA,UBIGEO,ANIO,TOTAL_POBLACION,TOTAL_VIVIENDA,VIVIENDAS_HABITADAS,POBLACION_CON_COBERTURA,POBLACION_SIN_COBERTURA,FECHA_CORTE,Latitude,Longitude
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,50,10,10,50.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,60,12,6,60.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,55,12,12,12.0,43.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,28,7,7,28.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,600,120,120,600.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,40,22,20,40.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,50,26,26,50.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,230,59,54,230.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,24,6,6,6.0,18.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,10,2,2,10.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,14,4,4,4.0,10.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,28,7,7,28.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,30,6,6,30.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,80,20,20,80.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,55,11,11,55.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,12,3,3,12.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,105,38,38,105.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,180,36,36,180.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,30,10,10,30.0,0.0,20230810,-12.9019391,-73.20706837723769
